Date,Race,Location,Distance,Course
05/09/2010,2,Sha Tin, 1600M ,Class 4 
05/09/2010,3,Sha Tin, 1400M ,Class 2 
05/09/2010,4,Sha Tin, 1200M ,Class 1 
05/09/2010,5,Sha Tin, 1400M ,Class 5 
05/09/2010,6,Sha Tin, 1200M ,Class 4 
05/09/2010,7,Sha Tin, 1000M ,Class 2 
05/09/2010,8,Sha Tin, 1200M ,Class 3 
05/09/2010,9,Sha Tin, 1400M ,Class 4 
05/09/2010,10,Sha Tin, 1400M ,Class 3 
08/09/2010,1,Happy Valley, 1000M ,Class 4 
08/09/2010,2,Happy Valley, 1200M ,Class 5 
08/09/2010,3,Happy Valley, 1200M ,Class 2 
08/09/2010,4,Happy Valley, 1650M ,Class 5 
08/09/2010,5,Happy Valley, 1200M ,Class 4 
08/09/2010,6,Happy Valley, 1650M ,Class 3 
08/09/2010,7,Happy Valley, 1650M ,Class 4 
08/09/2010,8,Happy Valley, 1000M ,Class 3 
12/09/2010,1,Sha Tin, 1000M ,Class 5 
12/09/2010,2,Sha Tin, 1400M ,Class 4 
12/09/2010,3,Sha Tin, 1000M ,Class 4 
12/09/2010,4,Sha Tin, 1600M ,Class 5 
12/09/2010,5,Sha Tin, 1200M ,Class 4 
12/09/2010,6,Sha Tin, 1400M ,Class 4 
12/09/2010,7,Sha Tin, 1000M ,Class 3 
12/09/2010,8,Sha Tin, 1200M ,Class 3 
12/09/2010,9,Sha Tin, 1400M ,Class 3 
12/09/2010,10,Sha Tin, 1400M ,Class 2 
15/09/2010,1,Happy Valley, 1200M ,Class 4 
15/09/2010,2,Happy Valley, 1200M ,Class 4 
15/09/2010,3,Happy Valley, 1200M ,Class 5 
15/09/2010,6,Happy Valley, 1650M ,Class 4 
15/09/2010,7,Happy Valley, 1200M ,Class 3 
15/09/2010,8,Happy Valley, 1650M ,Class 3 
18/09/2010,1,Sha Tin, 1000M ,Class 4 
18/09/2010,2,Sha Tin, 1200M ,Class 4 
18/09/2010,3,Sha Tin, 1200M ,Class 3 
18/09/2010,4,Sha Tin, 1400M ,Class 5 
18/09/2010,5,Sha Tin, 1600M ,Class 4 
18/09/2010,6,Sha Tin, 1400M ,Class 4 
18/09/2010,7,Sha Tin, 1200M ,Class 3 
18/09/2010,8,Sha Tin, 1600M ,Class 3 
18/09/2010,9,Sha Tin, 1400M ,Class 1 
18/09/2010,10,Sha Tin, 1400M ,Class 3 
23/09/2010,1,Happy Valley, 1000M ,Class 5 
23/09/2010,2,Happy Valley, 1000M ,Class 4 
23/09/2010,3,Happy Valley, 1800M ,Class 4 
23/09/2010,4,Happy Valley, 1650M ,Class 5 
23/09/2010,5,Happy Valley, 1650M ,Class 4 
23/09/2010,6,Happy Valley, 1200M ,Class 4 
23/09/2010,7,Happy Valley, 1800M ,Class 3 
